Pos,ID,Name,BV,SV,Team,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,Elite%
F,1,Balogun,4.4,4.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,2,Cédric,3.9,3.9,Arsenal,1,0.04,3,0.12,2,0.09,2,0.10,3,0.12,2,0.09,4,0.16,3,0.10,0.00
M,3,M.Elneny,4.4,4.4,Arsenal,6,0.20,5,0.20,3,0.10,2,0.09,3,0.10,3,0.11,3,0.12,3,0.11,0.00
M,4,Fábio Vieira,5.4,5.4,Arsenal,10,0.56,13,0.82,11,0.62,11,0.68,12,0.71,12,0.64,13,0.79,14,0.72,0.00
D,5,Gabriel,4.8,4.8,Arsenal,85,2.82,81,4.15,77,3.06,78,3.96,76,3.77,75,2.54,73,2.85,74,1.98,0.62
M,6,Havertz,7.1,7.1,Arsenal,36,1.89,36,2.60,26,1.54,27,1.92,29,1.97,28,1.60,30,2.05,31,1.57,0.00
D,7,Holding,4.4,4.4,Crystal Palace,2,0.08,4,0.17,6,0.23,8,0.25,9,0.34,9,0.24,10,0.19,11,0.32,0.00
F,8,G.Jesus,7.9,7.9,Arsenal,0,0.00,13,0.89,69,3.39,75,4.52,76,4.43,74,3.51,72,4.20,72,3.02,0.00
M,9,Jorginho,5.3,5.3,Arsenal,51,1.66,50,2.00,35,1.31,32,1.35,34,1.39,35,1.25,35,1.34,35,1.20,0.00
D,10,Kiwior,4.3,4.3,Arsenal,11,0.34,17,0.79,20,0.79,20,0.98,22,1.09,23,0.80,26,1.06,26,0.77,0.00
M,11,Marquinhos,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,12,Martinelli,7.7,7.7,Arsenal,82,3.94,77,5.43,72,3.92,69,4.55,68,4.37,68,3.55,66,4.14,67,3.09,0.03
F,13,Nketiah,5.5,5.5,Arsenal,66,3.17,56,3.82,28,1.62,25,1.76,23,1.61,24,1.42,24,1.67,27,1.39,0.01
M,14,Ødegaard,8.5,8.5,Arsenal,86,4.08,83,5.76,81,4.29,80,5.29,79,5.03,78,3.92,77,4.77,78,3.46,0.04
M,15,Thomas,4.8,4.8,Arsenal,0,0.00,10,0.44,47,1.58,55,2.10,53,2.01,56,1.78,54,1.91,54,1.60,0.00
M,16,Pepe,4.9,4.9,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,17,Ramsdale,4.8,4.8,Arsenal,10,0.37,13,0.61,92,3.78,18,0.81,17,0.78,17,0.64,17,0.66,19,0.66,0.00
G,18,Rúnarsson,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,19,Saka,8.6,8.6,Arsenal,89,4.30,86,6.13,82,4.39,80,5.42,78,5.14,78,3.98,78,4.95,75,3.38,0.76
D,20,Saliba,5.2,5.2,Arsenal,90,2.81,86,4.10,84,3.12,81,3.84,82,3.82,80,2.48,79,2.81,79,1.97,0.07
M,21,Sambi,4.9,4.9,Luton,0,0.00,0,0.00,11,0.40,32,0.97,0,0.00,52,1.43,59,1.76,56,1.65,0.00
M,22,Smith Rowe,5.3,5.3,Arsenal,17,0.94,17,1.23,14,0.83,14,0.97,17,1.12,15,0.90,17,1.11,17,0.90,0.00
D,23,Tavares,4.0,4.0,Nott'm Forest,0,0.00,35,1.19,28,1.01,27,1.24,27,1.02,30,1.16,27,0.93,26,1.20,0.00
D,24,Tierney,4.4,4.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,25,Tomiyasu,4.5,4.5,Arsenal,40,1.50,46,2.50,49,2.10,48,2.56,49,2.59,50,1.85,49,2.09,49,1.47,0.00
M,26,Trossard,6.5,6.5,Arsenal,31,1.73,33,2.44,25,1.54,26,1.93,28,1.99,28,1.66,30,2.02,29,1.50,0.00
D,27,Trusty,3.9,3.9,Sheffield Utd,91,2.76,87,1.21,81,2.48,80,1.94,79,1.15,78,2.07,77,1.15,76,1.08,0.00
G,28,Turner,4.1,4.0,Nott'm Forest,62,2.20,61,2.14,60,2.12,59,2.35,61,2.24,59,2.18,58,2.04,56,2.22,0.67
D,29,White,5.7,5.7,Arsenal,86,2.89,81,4.19,77,3.08,75,3.84,74,3.70,74,2.52,73,2.90,75,2.03,0.01
M,30,Xhaka,6.0,6.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,31,Zinchenko,4.9,4.9,Arsenal,67,2.72,66,3.99,62,2.94,61,3.67,61,3.57,59,2.43,59,2.81,59,1.97,0.06
D,32,Alex Moreno,5.0,5.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,33,Archer,4.5,4.5,Sheffield Utd,78,3.67,74,2.87,71,3.48,70,3.00,70,2.78,69,3.06,69,2.46,66,2.53,0.68
M,34,Bailey,5.5,5.5,Aston Villa,47,2.74,56,3.53,53,2.62,54,3.13,52,2.35,49,2.52,46,2.52,48,3.68,0.00
M,35,Buendia,5.7,5.7,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,36,Cash,5.2,5.1,Aston Villa,84,3.52,81,3.88,76,2.01,77,3.18,77,1.99,75,2.47,72,2.57,73,4.23,0.87
D,37,Chambers,3.9,3.9,Aston Villa,7,0.25,12,0.49,13,0.34,16,0.61,17,0.44,16,0.53,17,0.58,18,0.89,0.00
M,38,Coutinho,5.8,5.8,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,39,Davis,4.9,4.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,40,Dendoncker,4.9,4.9,Aston Villa,18,0.76,24,1.03,26,0.98,27,1.07,27,0.95,26,0.99,23,0.89,23,1.08,0.00
D,41,Diego Carlos,4.4,4.4,Aston Villa,41,1.67,47,2.08,46,1.23,47,1.82,46,1.23,49,1.56,48,1.64,48,2.51,0.00
D,42,Digne,4.7,4.7,Aston Villa,74,3.15,70,3.39,71,1.99,72,2.99,73,1.96,71,2.41,73,2.67,73,4.20,0.02
M,43,Douglas Luiz,5.5,5.5,Aston Villa,67,3.02,68,3.45,70,2.68,69,3.14,72,2.56,69,2.75,71,2.94,71,4.19,0.01
F,44,Duran,5.0,5.0,Aston Villa,11,0.73,16,1.18,16,0.98,18,1.23,18,0.96,18,1.07,15,0.94,17,1.38,0.00
D,45,Hause,4.0,4.0,Aston Villa,0,0.00,1,0.06,2,0.07,2,0.07,3,0.09,3,0.10,3,0.11,3,0.15,0.00
